Cég ID,Cégnév,2010,2011,2012,2013,2014,2015,2016,2017
91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,"1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29."
99037,TV2 Média Csoport Korlátolt Felelősségű Társaság,,,,"1054 Budapest, Szabadság tér 7., Gránit Torony. 8. em.","1145 Budapest, Róna utca 174.","1145 Budapest, Róna utca 174.","1145 Budapest, Róna utca 174.",
98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,,,,"1138 Budapest, Lomb utca 23-27.","1139 Budapest, Lomb utca 23-27.","1139 Budapest, Lomb utca 23-27.","1139 Budapest, Lomb utca 23-27.","1139 Budapest, Lomb utca 23-27."
96380,RTL Holding Korlátolt Felelősségű Társaság,"1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29."
100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),,,,,,"1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9."
99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,,,,"1124 Budapest, Csörsz utca 49-51.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1034 Budapest, Bécsi út 122-124.","1034 Budapest, Bécsi út 122-124."
97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,"1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.",
91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,"1149 Budapest, Róna u 120-122.","1149 Budapest, Róna u 120-122.","1024 Budapest, Retek utca 20.","9021 Győr, Újlak utca 4. A. ép.","9021 Győr, Újlak utca 4. A. ép.","9021 Győr, Újlak utca 4. A. ép.","9021 Győr, Újlak utca 4. A. ép.","9021 Győr, Újlak utca 4. A. ép."
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,"8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12."
92000,MTM-SBS Televízió Zártkörűen Működő Részvénytársaság,"1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.",,,
91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,"9021 Győr, Ujlak u. 4/a.","9021 Győr, Ujlak u. 4/a.","9021 Győr, Ujlak u. 4/a.","9021 Győr, Ujlak u. 4/a.",,,,
90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,"1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11."
90727,JCDecaux Hungary Zártkörűen Működő Részvénytársaság,"1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em.","1027 Budapest, Ganz utca 16. IV. em."
98903,Blikk Korlátolt Felelősségű Társaság,,,,,"1122 Budapest, Városmajor utca 11.","1122 Budapest, Városmajor utca 11.","1122 Budapest, Városmajor utca 11.","1122 Budapest, Városmajor utca 11."
92176,New Wave Media Group Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,"1117 Budapest, Gábor Dénes u 2.","1117 Budapest, Gábor Dénes u 2.","1073 Budapest, Dob utca 76-78.","1073 Budapest, Dob utca 76-78.","1073 Budapest, Dob utca 76-78.","1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9."
93346,"Russmedia Lapkiadó, Információs és Kulturális","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11."
92418,Publimont Hirdetésszervező Korlátolt Felelősségű Társaság,"1022 Budapest, Törökvész út 30/a.","1022 Budapest, Törökvész út 30/a.","1022 Budapest, Törökvész út 30/a.","1022 Budapest, Törökvész út 30/a.","1022 Budapest, Törökvész út 30/a.","1022 Budapest, Törökvész út 30/a.","1022 Budapest, Bég utca 3-5.","1022 Budapest, Bég utca 3-5."
92564,Media Records Zártkörűen Működő Részvénytársaság,"1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9."
93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,"1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14."
99223,Central Digitális Média Korlátolt Felelősségű Társaság,,,,,"1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9.","1037 Budapest, Montevideo utca 9."
90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,"1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102."
92518,Mediaworks Kiadó és Nyomda Korlátolt Felelősségű Társaság,"1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.",
96994,Pannon Napilapok Betéti Társaság,,"8900 Zalaegerszeg, Ady E utca 60.","8200 Veszprém, Házgyári utca 12.",,,,,
91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,"1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93.","1033 Budapest, Szentendrei út 89-93."
92565,Digital Media and Communications Közép-európai Kommunikációs Zártkörűen Működő Részvénytársaság,"1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9."
92066,Magyar Idők Kiadó Korlátolt Felelősségű Társaság,"1033 Budapest, Polgár utca 8-10.","1033 Budapest, Polgár utca 8-10.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1036 Budapest, Perc utca 8. 2. em.","1097 Budapest, Könyves Kálmán körút 12-14.","1097 Budapest, Könyves Kálmán körút 12-14.","1097 Budapest, Könyves Kálmán körút 12-14."
90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,"1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31.","1102 Budapest, Kőrösi Csoma Sándor út 31."
91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,"1033 Budapest, Hajógyári-sziget 213.","1031 Budapest, Záhony utca 7.","1031 Budapest, Záhony utca 7.","1031 Budapest, Záhony utca 7.","1031 Budapest, Záhony utca 7.","1031 Budapest, Záhony utca 7.","1031 Budapest, Záhony utca 7.","1031 Budapest, Záhony utca 7."
98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,"1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57.","1062 Budapest, Teréz krt. 55-57."
99392,Modern Media Group Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság,,,,,,"1036 Budapest, Perc utca 8. 2. em.","1036 Budapest, Perc utca 8. 2. em.","1036 Budapest, Perc utca 8. 2. em."
93152,Z+ Műsorszolgáltató Zártkörűen Működő Résztvénytársaság,"1113 Budapest, Bocskai út 134-146.",,,,,,,
93344,Index.hu Informatikai Zártkörűen Működő Részvénytársaság,"1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1.","1033 Budapest, Flórián tér 1."
96789,Szuperinfó Média Hirdető és Lapterjesztő Korlátolt Felelősségű Társaság,,"4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11."
90181,Mediaworks Regionális Kiadó Korlátolt Felelősségű Társaság,"2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Mártírok út 44.","2800 Tatabánya, Mártírok út 44.","2800 Tatabánya, Mártírok út 44.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.","1082 Budapest, Futó utca 35-37.",
98204,Viasat Hungária Szolgáltató Zártkörűen Működő Részvénytársaság,"1139 Budapest, Váci út 99. 1-2. ép.","1139 Budapest, Váci út 99. 1-2. ép.","1139 Budapest, Váci út 99. 1-2. ép.","1139 Budapest, Váci út 99. 1-2. ép.","1139 Budapest, Váci út 99. 1-2. ép.","1062 Budapest, Teréz körút 55-57, Eiffel Square. C. ép.","1062 Budapest, Teréz körút 55-57, Eiffel Square. C. ép.","1062 Budapest, Teréz körút 55-57, Eiffel Square. C. ép."
93414,Net Média Kiadó és Internet Tartalomszolgáltató Zártkörűen Működő Részvénytársaság,"1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1033 Budapest, Polgár utca 8-10.","1033 Budapest, Polgár utca 8-10.","1033 Budapest, Polgár utca 8-10.","1033 Budapest, Polgár utca 8-10."
90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,"1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.",,,
90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,"1036 Budapest, Lajos utca 48-66.","1036 Budapest, Lajos utca 48-66.","1036 Budapest, Lajos utca 48-66.","1036 Budapest, Lajos utca 48-66.","1036 Budapest, Lajos utca 48-66.","1036 Budapest, Lajos utca 48-66.","1066 Budapest, Jókai utca 6.","1066 Budapest, Jókai utca 6."
91146,Hungaroplakát Reklám Korlátolt Felelősségű Társaság,"1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20.","1139 Budapest, Fáy utca 20."
92081,Nemzet Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,"1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102."
92455,Sláger FM Hálózat Zártkörűen Működő Részvénytársaság,"1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1134 Budapest, Róbert Károly körút 82-84.","1134 Budapest, Róbert Károly körút 82-84.","1012 Budapest, Márvány utca 17.","1012 Budapest, Márvány utca 17."
99394,Ripost Média Szolgáltató és Kommunikációs Korlátolt Felelősságű Társaság,,,,,,"1033 Budapest, Kórház utca 6-12. 1. em.","1033 Budapest, Kórház utca 6-12. 1. em.","1033 Budapest, Kórház utca 6-12. 1. em."
92637,Spektrum-TV Közép-Európai Műsorkészítő Zártkörűen Működő Részvénytársaság,"1139 Budapest, Lomb utca 23-27.","1139 Budapest, Lomb utca 23-27.",,,,,,
90765,EMG Médiacsoport Korlátolt Felelősségű Társaság,"1036 Budapest, Lajos utca 74-76.","1036 Budapest, Lajos utca 74-76.","1036 Budapest, Lajos utca 74-76.","1037 Budapest, Bokor utca 1-3-5.","1012 Budapest, Logodi utca 49.","1012 Budapest, Logodi utca 49.","1012 Budapest, Logodi utca 49.","1012 Budapest, Logodi utca 49."
98886,Új Média és Teletext Szolgáltató Korlátolt Felelősségű Társaság,"1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64.","1037 Budapest, Kunigunda útja 64."
92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,"1139 Budapest, Lomb utca 23-27.","1139 Budapest, Lomb utca 23-27.",,,,,,
90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság","1145 Budapest, Törökőr u. 78.","1145 Budapest, Törökőr u. 78.","1145 Budapest, Törökőr u. 78.","1145 Budapest, Törökőr u. 78.","1145 Budapest, Törökőr u. 78.","1145 Budapest, Törökőr u. 78.","1145 Budapest, Törökőr u. 78.","1149 Budapest, Angol utca 65-69."
90439,COMEDY CENTRAL MAGYARORSZÁG Zártkörűen Működő Részvénytársaság,"1113 Budapest, Bocskai út 134-416.",,,,,,,
98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,"1133 Budapest, Váci út 76.","1133 Budapest, Váci út 76.","1133 Budapest, Váci út 76.","1133 Budapest, Váci út 76.","1133 Budapest, Váci út 76.","1133 Budapest, Váci út 76.","1133 Budapest, Váci út 76.","1132 Budapest, Váci út 22-24."
93510,Vas Népe Reklám-Propaganda és Kiadói Betéti Társaság,"9700 Szombathely, Széll Kálmán utca 40.","9700 Szombathely, Széll Kálmán utca 40.",,,,,,
91051,Hearst Central Kiadói Korlátolt Felelősségű Társaság,"1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.",
93165,Zalai Hírlap Kiadói Betéti Társaság,"8900 Zalaegerszeg, Ady E utca 62.","8900 Zalaegerszeg, Ady E utca 62.",,,,,,
91149,HVG ONLINE Internetes Fejlesztő Kereskedelmi Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság,"1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14.","1037 Budapest, Montevideo utca 14."
91105,Hírlap Press Kiadói Betéti Társaság,"8000 Székesfehérvár, Ady E utca 15.","8000 Székesfehérvár, Ady E utca 15.",,,,,,
92366,PONT Reklám Korlátolt Felelősségű Társaság,"1022 Budapest, Gárdonyi Géza utca 12.","1022 Budapest, Gárdonyi Géza utca 12.","1022 Budapest, Gárdonyi Géza utca 12.","1022 Budapest, Gárdonyi Géza utca 12.","1022 Budapest, Gárdonyi Géza utca 12.","1022 Budapest, Gárdonyi Géza utca 12.","1026 Budapest, Gárdonyi Géza utca 12.","1026 Budapest, Gárdonyi Géza utca 12."
98558,Palóc Média Korlátolt Felelősségű Társaság,,,"1154 Budapest, Szentmihályi út 32.","1154 Budapest, Szentmihályi út 32.","1154 Budapest, Szentmihályi út 32.","1152 Budapest, Szentmihályi út 131. Pólus Center. ép. Wall Street. lház. 21.","1152 Budapest, Szentmihályi út 131. Pólus Center. ép. Wall Street. lház. 21.","1152 Budapest, Szentmihályi út 131. Pólus Center. ép. Wall Street. lház. 21."
90400,Mobil Marketing Korlátolt Felelősségű Társaság,"1037 Budapest, Bokor utca 15-21. II. em. 32.","1036 Budapest, Lajos utca 74-76.","1055 Budapest, Szent István körút 21. fszt. 2.","1055 Budapest, Szent István körút 21. fszt. 2.","1055 Budapest, Szent István körút 21. fszt. 2.","1055 Budapest, Szent István körút 21. fszt. 2.",,
91661,MAGYAR HÍRLAP Kiadói Korlátolt Felelősségű Társaság,"1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107.","1145 Budapest, Thököly út 105-107."
91778,Mahír Cityposter Korlátolt Felelősségű Társaság,"1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121.","1095 Budapest, Soroksári u. 121."
