Cég ID,Cégnév,Nettó árbevétel 1998 (Ezer Ft),Adózott eredmény 1998 (Ezer Ft),Üzemi eredmény 1998 (Ezer Ft),Nettó árbevétel 1999 (Ezer Ft),Adózott eredmény 1999 (Ezer Ft),Üzemi eredmény 1999 (Ezer Ft),Nettó árbevétel 2000 (Ezer Ft),Adózott eredmény 2000 (Ezer Ft),Üzemi eredmény 2000 (Ezer Ft),Nettó árbevétel 2001 (Ezer Ft),Adózott eredmény 2001 (Ezer Ft),Üzemi eredmény 2001 (Ezer Ft),Nettó árbevétel 2002 (Ezer Ft),Adózott eredmény 2002 (Ezer Ft),Üzemi eredmény 2002 (Ezer Ft),Nettó árbevétel 2003 (Ezer Ft),Adózott eredmény 2003 (Ezer Ft),Üzemi eredmény 2003 (Ezer Ft),Nettó árbevétel 2004 (Ezer Ft),Adózott eredmény 2004 (Ezer Ft),Üzemi eredmény 2004 (Ezer Ft),Nettó árbevétel 2005 (Ezer Ft),Adózott eredmény 2005 (Ezer Ft),Üzemi eredmény 2005 (Ezer Ft),Nettó árbevétel 2006 (Ezer Ft),Adózott eredmény 2006 (Ezer Ft),Üzemi eredmény 2006 (Ezer Ft),Nettó árbevétel 2007 (Ezer Ft),Adózott eredmény 2007 (Ezer Ft),Üzemi eredmény 2007 (Ezer Ft),Nettó árbevétel 2008 (Ezer Ft),Adózott eredmény 2008 (Ezer Ft),Üzemi eredmény 2008 (Ezer Ft),Nettó árbevétel 2009 (Ezer Ft),Adózott eredmény 2009 (Ezer Ft),Üzemi eredmény 2009 (Ezer Ft)
91541,LÁNCHÍD RÁDIÓ Műsorszolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,0,-83,-83,89281,-203256,-201078,109743,-275471,-267302,262740,539461,-96190
91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,,,,,,,,,,1710887,6859,11417,4948778,462558,526146,,,,,,,6867135,737512,711453,7182622,747840,849489,7370249,977719,1107232,7602879,1698053,1103641,7567400,-742175,-1107451
91587,LOGOD Kereskedelmi és Szolgáltató B.T.,48518,2058,,49065,6473,,61868,5603,4612,61258,959,465,77776,7206,7229,73618,3034,2986,89080,4948,5189,84962,7468,6501,87046,5006,5277,95842,-99,-226,93201,-1627,-1273,85767,-2477,-2444
91661,Magyar Hírlap Kiadói Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,83963,3497,4103,835482,-153710,-165720,702468,-190030,-186359,534758,-723947,-751149,,,,751408,-469163,-462562
199043,MAGYAR HIRLAP KÖNYV- ÉS LAPKIADÓ RÉSZVÉNYTÁRSASÁG,,,,3429294,106759,219496,3603168,233567,140184,,,,,,,,,,,,,,,,,,,,,,,,,,,
91719,Magyar Rádió Részvénytársaság,,,,,,,,,,6789684,766549,821590,6849914,711806,628263,3129150,-141378,-217029,2398276,433561,374713,2255276,-2407154,-2353015,2086318,-882895,-852946,2037991,-609218,-618875,2406612,971925,928474,2285447,187368,51347
91738,Magyar Televízió Rt.,,,,3618244,-4607027,-8669539,,,,,,,2648838,-11755870,-12145771,3437144,-10821918,-10672103,4738303,-4120366,-4377976,3570519,1636671,1776550,3725100,4405469,-2469944,3882210,89619,-209669,4949915,165795,3060,3394422,292543,-3731
91753,Magyarnarancs.hu Lapkiadó Korlátolt Felelősségű Társaság,,,,62935,-17181,-16262,,,,115212,-2038,-2078,150603,11637,7541,168164,26326,27259,162468,3540,552,184221,8460,10250,212966,25615,19729,224945,26352,29680,248494,21357,18002,251416,4797,-546
199044,Mahir Kiadó Korlátolt Felelősségű Társaság,,,,0,-1794,-694,,,,0,3007,-3656,0,-4049,-1552,0,-590,-307,0,-22,-25,,,,,,,,,,,,,,,
199045,manager magazin Budapest Kiadó Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,84973,-134084,-129569,151284,24742,-131543,208619,-47831,-173153,193589,99229,-55275,,,,,,,,,
91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,,,,144601,61353,-23870,,,,311360,-14491,-14369,346647,13911,14256,341342,34974,38281,397443,55847,61686,408313,33035,36791,474313,14516,18144,499981,11086,13779,543288,15914,18835,378407,1533,4838
91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,,,,832398,182667,155906,1177662,359303,-238715,,,,1434039,137089,135626,1396692,52394,-182869,1306184,50096,-167858,1394804,761010,-9146,1654727,1710,-35966,1998147,-78769,-106669,2153875,-21529,-64384,1815322,-105907,-170018
96342,Második Produkció Kft.,7837,1070,1314,9027,2439,3162,14677,2565,3327,6061,-6903,-6113,69530,11967,12905,55270,13718,15303,41521,1356,2859,44727,-1207,-816,52420,1619,2846,66102,6196,7492,72820,4,5429,100156,9519,11425
91842,Média 11. Tömegkommunikációs és Szolgáltató Korlátolt Felelősségű Társaság,29769,1075,891,67512,-9542,-9679,79316,-4214,-4293,96580,-4679,-4721,115692,-1455,-1478,135215,-1799,-2204,142883,-26803,-27499,229263,-4374,-5246,248823,7301,-4463,235168,8188,5327,226690,55,-2823,196211,-624,78
199046,MIHÍR 2004 Miskolci Hirdető Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,210229,4676,19505,250852,35303,47575,269798,37706,40836,264633,54253,65107,199800,48112,55634,,,
91920,MIKOM Miskolci Kommunikációs Nonprofit Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205561,0,-4556
199047,M-Invest 2000 Ingatlankezelő Korlátolt Felelősségű Társaság,1317381,2,35412,37902,160,-15680,27086,6579,-17662,0,0,0,10345,2102,2348,33888,4462,581,189460,-14227,-4294,173925,-73997,-72859,,,,,,,,,,,,
199048,Miskolci Kommunikációs Kht.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205561,0,-4556
91679,MKIK Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121624,714,97
199049,M-MEDIEN GROUP Kultúrális Szolgáltató Korlátolt Felelősségű Társaság,,,,423928,-23934,-24022,350098,1032,1114,359949,7232,24301,403745,1316,-3299,332557,-142965,-130229,475,-407,-407,,,,,,,,,,,,,,,
91935,MOBIL-EXPO Kereskedelmi Korlátolt Felelősségü Társaság,432178,25999,30153,,,,670011,11198,17373,606832,17492,30906,698083,66651,109325,,,,,,,1453522,8815,22413,1286611,-1460,10763,1373060,-9716,7160,1378226,13909,31416,1218602,21975,41772
91722,M-RTL Rt,,,,,,,,,,19086449,1594510,1850762,23498555,2345227,2043131,26109513,2373330,2339610,30854233,3012511,2914617,31424632,2997174,3246824,32558660,3789293,3962306,34097460,4189944,4775941,40424739,4853512,5224332,29441888,3442113,3513600
91998,MTG Metro Gratis Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,,,,740675,-600724,-577242,1031582,-349941,-322638,1672653,18125,-22242,1970650,-37352,29073,2188134,188427,100747,2430945,222168,108141,2743409,255017,132295,2900035,32186,67495,,,,2592480,-240907,-242621,1989025,-494141,-507656
92000,MTM-SBS Televízió Rt.,10444309,-2696086,-2019674,,,,,,,,,,16868487,463262,-2009921,19661439,-421205,-968864,22553923,2526379,2135140,25434635,1932019,2631412,26582771,3546480,4245262,25523234,3044364,3584042,26084213,2264768,3113754,21416624,635593,637564
92002,MTV Networks Magyarország Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,197528,-58308,-54564,869841,221953,242029,899420,117269,123215
199050,MULTIVIZIÓ-VESZPRÉM Lapkiadó Korlátolt Felelősségű Társaság,,,,125105,1548,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199051,MűSOR-HANG Műsorszolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,56133,515,-10329,159075,2107,15154,208248,4340,20809,252564,21949,29832,,,,274063,18896,38036,,,
92015,MűSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303227,176,34794
92066,Napi Gazdaság Kiadó Korlátolt Felelősségű Társaság,562843,50454,38350,685029,10100,8004,704180,21402,16121,703961,10865,14022,651399,9246,4364,742965,15750,8613,814561,27973,17966,971289,80080,54261,958660,3162,-20703,870058,42394,44498,884828,-36514,-43701,753091,14634,9783
199052,NAPLÓ Lapkiadó Korlátolt Felelősségü Társaság,754643,13170,21547,583664,52330,60529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92081,Nemzet Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,,,,802749,-116488,-117177,2638049,13486,-173612,4117637,5997,-126655,4102611,26987,-96924,3316887,282287,256121,3801272,173086,122680,2971296,309431,147506,3058030,313654,28562,2842181,223009,146774,2724343,-24482,-149078,2844395,16844,-66488
199053,"Nemzeti Korona Lap, Könyvkiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199054,Nemzeti Sport Lap- Könyvkiadó és Szolgáltató Korlátolt Felelősségű Társaság,,,,2232982,-77854,-80795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,,,,,,,,,,7911324,496719,291148,7427863,8489,-177778,7507328,393513,225353,7563337,42406,-184763,7064573,333304,197065,6828732,344025,166858,6637450,282357,25832,6591819,-460704,-561173,5388157,-1257718,-1200140
92092,Népszava Lapkiadó Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,707311,-144173,-143379,901894,55490,64377,763521,88044,88912,629773,13926,13937,301531,200,-18316,262178,-3154,-357,1129873,-171696,-43715
92093,Népújság Korlátolt Felelősségű Társaság Békéscsaba,,,,679848,62529,71391,690112,49514,55804,,,,935236,115823,136871,1017188,101979,121127,1079781,108532,125106,1077919,69640,82081,1156717,124100,144696,1214888,134359,152958,1249978,138044,164482,1101118,79337,95251
93414,Net Média Kiadó és Internet Tartalomszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,4743,-1122,-1676,9103,1155,1409,11525,86,228,107533,29087,28537,143973,35384,32243,203804,8741,-1045,335540,89105,84300,,,,719873,149853,159660,1336891,465991,568584
199055,New World Publishing Kft.,,,,,,,,,,466853,-31824,-29682,393450,31829,-36670,349922,17629,12032,351535,-40920,-53357,335075,-53724,-52296,264653,-37634,-37997,,,,90864,0,-36269,,,
92115,Nógrádi Média Kiadói Korlátolt Felelősségű Társaság,,,,242485,387,264,270430,562,673,299859,159,443,329822,1841,2482,347042,207,498,354061,4305,5286,360263,4749,5859,374208,1016,4816,363571,-4240,731,369833,-5050,1883,335909,120,4951
199056,NSZ 1999 Lapkiadó Részvénytársaság,,,,129009,-69079,-69931,,,,938223,-291782,-283508,885256,-49032,-38626,885256,-49032,-38626,,,,,,,,,,,,,,,,,,
92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,8532552,-2586478,-1889068,12015426,-2288135,-2010969,19782174,737175,948047,27205140,2242014,2267966,35080480,1723442,1749312,31093395,-2199903,-2196887,4494361,-833260,-965880,3735081,-1234739,-1493107
98208,Országos Kereskedelmi Rádió Rt.,1755685,-250153,-57344,2373365,133744,323022,2754256,84658,433539,,,,2273921,116893,630329,2090039,-20379,365314,2271070,93109,114342,1930296,30694,210563,2311686,158255,278861,2106703,301787,297927,1916407,88814,292912,1190520,-1030619,-1020022
199057,P & B Média Portfóliókezelő Rt.,,,,2212922,670013,-1217889,1054352,-267608,-473176,0,-91,-91,370,-72282,-12793,,,,,,,,,,,,,,,,,,,,,
92254,Pannon Broadcast Televízió Kft.,0,6,-205,,,,0,-7294,-7422,42,9858,9851,115,-2769,-2774,470,-1215,54,4256,1072,1064,7734,-155,-190,6764,1691,1709,13028,62,74,52646,-56,-39,34313,75,110
92254,PANNON BROADCAST Televízió Kolrátolt Felelősségű Társaság,0,6,-205,,,,0,-7294,-7422,42,9858,9851,115,-2769,-2774,470,-1215,54,4256,1072,1064,7734,-155,-190,6764,1691,1709,13028,62,74,52646,-56,-39,34313,75,110
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,,,,5968390,152035,283767,,,,,,,7684559,178182,205230,8057954,305434,399903,8942898,788149,819792,9164478,773077,712474,9774034,508781,468401,9795646,317168,140904,10129819,208159,59184,9158755,229084,158060
92287,Pax TV Rt.,,,,,,,,,,,,,108036,-151643,-135769,68222,132665,-94391,109424,23214,2414,121706,-11321,3037,163302,35824,22852,124801,9776,-15285,133747,-10286,-15138,120513,40770,-8351
92292,Pécs Médiaközpont Korlátolt Felelősségű Társaság,0,-102,103,136453,832,1937,,,,,,,112538,906,1789,117595,496,1074,135237,-1391,-1160,122704,93,369,121882,-20965,-20923,112580,-2765,-18767,142099,757,1570,196041,6165,7702
92324,Petőfi Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,967379,139592,162174,1073882,140973,166209,1087802,126420,150468,1228492,132473,154994,1351697,149027,175532,1341672,135191,163272,1467037,151989,173645,1488060,73769,91471,1522200,156468,183127,1515262,127736,153467,1497918,194977,239026,1306676,137063,167913
199058,Piac és Marketing Kft.,,,,,,,,,,,,,,,,,,,0,-1688,-1688,,,,,,,,,,,,,,,
92333,Piac és Profit Kiadó Korlátolt Felelősségű Társaság,125646,890,1402,152526,-11519,-11462,,,,258438,53,-35,219468,8570,9005,275767,544,546,280043,7004,7606,331801,37420,22145,340494,20347,2843,342280,13974,-4507,381693,9487,-12513,250595,4777,-17686
92368,POP Print és Online Piac Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199059,PORTA Ingatlanközvetítő és Reklámszervező Gazdasági Munkaközösség,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96008,Press+Print Kft.,77544,3121,2297,92435,-637,-756,124994,-1367,555,164178,2367,4998,201618,16676,24114,208425,14242,28668,212277,27737,24344,219644,1146,13122,221938,13136,23058,157089,2577,7036,147571,2967,9611,119033,2405,8818
92403,PROGETTO MÉDIA Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,250,-159,-24,0,-1096,-1240,0,-55,-55,0,-278,-278
92404,Progressio Lapkiadó és Szolgáltató Kft.,23328,-1420,-1827,22288,-764,-771,26220,1941,1933,25927,90,82,22943,758,745,21022,1128,1126,19860,-3317,-7202,17213,-5642,-7688,8606,900,-155,,,,0,-11,-11,0,85,85
92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,291277,0,-29026,317514,0,-76277,,,,676978,-127193,-111936,789298,-69365,-168552,767556,-267097,-228549,989469,-248504,-240610,1159811,-513793,-369079,1558925,547264,-270713,1329621,-292162,-282311,1428676,44659,43327,1509250,45508,37923
92455,Rádió Juventus Műsorszolgáltató Részvénytársaság,,,,,,,,,,732949,-163238,-158034,635921,67196,-278062,635070,-98007,-120342,646624,113720,36086,617311,-124623,-16302,601732,-73863,-74032,561140,84049,-25690,533751,-41759,-24648,411173,-130622,-135623
92513,RF-HOBBY Lapkiadó Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,42157,-30545,-31368,72231,-3504,-4495,120677,-7184,-7903,188082,436,-4578,185958,-1320,-1731,185253,-3436,-3186
92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1318709,-453714,-461007,1941404,3283887,-124212,,,,4280500,276528,15443,7062605,802552,738196,8828894,1303277,1075376,11533129,660615,477141,11082056,628365,730681,13054142,1621953,1940888,13143303,1447435,1660186,13819390,1466564,1576391,12787910,774062,686165
92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,9488458,-740828,371713,16895601,1638531,1242691,17207371,1956459,1378434,18008580,2684504,2179853,19828976,2775422,2259604,21987661,2948530,2229665,22603134,3084768,1851523,18969393,174944,-21728
92565,Sanoma Digital Media Zrt.,,,,,,,,,,,,,,,,,,,,,,4919,-128237,-128024,383849,-131617,-122715,800738,-21834,-18542,1032118,-115779,-109509,1237222,-137392,-128300
93480,Sláger Rádió Műsorszolgáltató Részvénytársaság,,,,,,,,,,,,,2409217,-169044,-204339,2598333,2182832,29688,3528356,1097983,851510,3856111,679073,1109011,4000059,946027,1001744,3895583,771853,942192,4183612,1242228,1365636,2611784,167656,513
199060,Spektrum-TV Rt,,,,,,,,,,1208497,343531,398292,1264923,405713,501509,1239353,429204,523814,1249430,413768,496496,1435558,668566,705656,1820954,994551,1123388,1853471,956956,1072476,1905097,895261,1041822,,,
199061,Sport1 TV Műsorszolgáltató Zrt.,,,,,,,300,-61024,-61024,374740,1742211,-1645539,2159959,-884323,-873899,2962595,282893,328043,3341154,-148331,271545,4317058,941382,1029263,5385718,1389848,1434706,6649083,1449394,1589574,5645338,1350173,1502373,,,
92645,Sprint Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,62046,9422,7990,73856,8506,10868,92629,17327,20589,93997,2737,4694,163487,20706,19298,191693,17366,19592,167984,2148,2233,191143,11146,11906,216490,17154,16155,204858,31928,31385,230918,23984,68429,237650,35994,33037
199062,Strigonium Számviteli és Gazdasági Tanácsadó Zártkörűen Működő Részvénytársaság,27,-3506,-1747,3554,1278,204,,,,151631,-12182,-15693,161706,30702,33974,77152,-10606,-12380,114098,-72049,-78691,113154,-93809,-96836,210151,-135776,-147666,243837,-69040,-96897,162695,37851,-17781,162342,1957,-61979
96037,Stringonium Press Kft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242085,-29051,-29050
199063,Szabad Föld Lap- és Könyvkiadó Részvénytársaság,,,,662187,113174,56526,149897,30701,23973,177740,37665,34654,176042,41659,42218,188608,25415,24035,,,,,,,,,,,,,,,,,,
199064,Szegedi Közlekedési Korlátolt Felelősségű Társaság,,,,,,,1104061,-90830,-110294,,,,1018555,101798,-145712,1043182,-111789,-151549,1521653,29705,71954,1845845,38612,61597,1965146,25516,6387,2075005,115443,122494,2399602,29074,135693,2307893,4695,42410
199065,Szív TV Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92805,Sztrato Kiadói Korlátolt Felelősségű Társaság,57323,580,-676,57374,9889,-6537,27510,462,603,41834,1513,1480,35202,1792,2175,58117,6245,6549,46110,804,873,71159,1402,1300,73248,2952,3936,118289,22606,30517,51791,123,542,31007,89,673
92839,TATABÁNYAI KÖZÖSSÉGI TELEVIZIÓ Korlátolt Felelősségű Társaság,8973,-3193,-3213,,,,,,,15081,2431,2896,17186,-4592,-4686,40853,-1270,-1170,45699,-4093,-4046,39001,-1161,-1158,49237,835,936,43290,-4857,-4924,58935,-3606,-3363,39014,-12601,-12429
92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,,,,361986,-29044,-47245,473811,-17474,-10673,550225,-29486,10379,646930,17854,22509,624712,51254,68880,599639,37145,37266,629212,64475,37639,778271,81091,104702,750985,105192,92954,704007,46157,30058,583678,22377,-3517
99632,Tel-Info Informatikai és Szolgáltató Betéti Társaság,,,,,,,112224,2131,3400,118003,4512,5228,145800,13193,13744,161493,736,1626,159275,444,496,144436,2921,3687,58198,372,1179,13780,-4502,-4457,8260,-8074,-6683,12010,-1832,-1795
93923,Tematik Kabel Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-144,-144,10409,1536,1722,37394,2212,2361
92881,Théma Lapkiadó Kereskedelmi és Szolgáltatási Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,29820,-83448,-83138,394598,-543093,-490003,610935,-410581,-353217,508801,-414242,-391991,866327,-148666,-169967,1039345,-144977,-93532
92954,TUEGO Szolgáltató és Kereskedelmi Közkereseti Társaság,,,,,,,,,,14590,0,,19000,0,,17538,1488,2216,17561,2380,3321,18834,529,1183,22853,2359,3232,25116,3882,2124,6164,-330,-333,4218,22,427
92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-45317,-10092,535727,-3303787,-2981543
199066,TV Paprika Rt.,,,,,,,,,,,,,,,,,,,,,,293686,-64017,-34151,715977,74526,120402,1014468,128494,198273,1262297,287470,375943,,,
199067,TVegy Kultúrális és Műsorszolgáltató Rt,,,,,,,184712,743,699,,,,,,,,,,,,,,,,,,,,,,,,,,,
92990,Újpesti Sajtó Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92999,Ursa Et Ursus Kiadó Kft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,-8228,-8229
199068,Városi Televízió Kft.,,,,50088,-4755,-4531,,,,112402,1,-5900,130927,2227,-8509,136976,3586,-10171,137607,-8105,-22431,132247,-5339,-20124,144434,57,-11766,128724,-10899,-8786,121892,-4044,-2486,145797,-64409,-64990
93039,VÁROS-KÉP Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241599,3124,3211
93510,Vas Népe Reklám-Propaganda és Kiadói Betéti Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155199,15034,19190
92971,VH Információs Korlátolt Felelősségű Társaság,150185,13250,,178515,14612,17409,145730,-49805,-42466,243289,-6051,-314,276439,9525,15007,281236,-28265,-33682,275799,-26384,-28708,404514,6631,11240,402629,-6198,-4234,250215,-103927,-97971,226296,-85997,-79210,169126,-141673,-136845
98204,Viasat Hungária Rt,,,,,,,,,,158647,-1620382,-1626972,1900662,1998063,89903,2287679,193815,193338,2641349,217773,5880,3213770,341969,291549,3578911,316739,203482,4873692,259647,163890,5984606,201110,487172,6072847,346264,783988
93113,Vital TV Zrt.,,,,,,,,,,,,,,,,,,,,,,420,-3528,-3540,5857,-374939,-375287,51800,-375598,-375376,,,,,,
199069,Vogel Publishing Kiadó Korlátolt Felelősségű Társaság,436203,7423,11174,822908,13106,14427,,,,,,,621257,-204809,-206179,505882,-129836,-108806,268640,79384,49687,0,46238,34968,0,78306,3807,0,-660,-661,0,-2228,-631,0,-2161,-1642
93140,"Word Communications Kiadói, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",,,,,,,,,,,,,36425,-23251,-23255,116602,-8880,-8015,118556,19,3278,129554,210,3045,133930,313,3919,207131,2998,6809,188115,-3458,932,168264,-14753,-10983
93152,Z+ Műsorszolgáltató Rt.,,,,,,,,,,,,,964024,7134,-10958,1102458,234627,222063,1317706,268484,236971,1474107,239953,215542,1730302,263482,232807,1899817,264163,280048,2158007,293723,302809,2275194,501904,530294
93165,Zalai Hírlap Kiadói Betéti Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150973,13100,16641
199070,Zenit Televízió Rt.,,,,,,,,,,14151,215,259,11620,-468,-474,11941,761,927,,,,,,,,,,,,,,,,,,
199071,ZEPHYR 2000 Kereskedelmi és Szolgáltató Betéti Társaság,,,,,,,,,,,,,,,,,,,62571,-43,-20,40867,2399,3074,61318,13493,16224,74641,6929,10122,57503,1223,2574,,,
93186,Zöld Újság Tömegkommunikációs és Kiadói Zártkörűen Működő Részvénytársaság,,,,934057,66114,60182,1043371,45856,35052,1180956,18115,6712,1098819,55784,60912,1152694,134504,148484,1260619,136308,132255,1323587,138203,117995,1377390,165797,189712,1415177,126177,173341,1546055,148899,195505,1340368,81230,108309
96941,Zselici Forrás Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,12038,2282,2667,37344,1978,2398,46012,3962,4795
199072,Budapesti Kommunikációs Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199015,dr. Bródy Péter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199073,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91968,MOTOR-PRESSE BUDAPEST Kft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142795,-39002,-54732,867310,-110418,-164862
