,Időszak:,,2010. IV. név,,,,,,,,,,
33941,Gyöngyösi újság (Gyöngyösi mozaik),999999,Egyéb üzemeltető,,,,,,,,,,
34178,Mátraalja,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
34188,Mercedes-Benz magazin,999999,Egyéb üzemeltető,,,,,,,,,,
34353,Portfolio ingatlan magazin (Resource),93414,Net Média Kiadó és Internet Tartalomszolgáltató Zártkörűen Működő Részvénytársaság,1139,Net. IPO Aktiengesellschaft,1115,Ladomerszky Zsolt,1168,Sándorfi Mihályné,,,,
34430,Szuflé,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
34489,Trend magazin csak férfiaknak ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
34490,Trend magazin csak nőknek ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
34589,Lifestyle plusz …,91149,HVG ONLINE Internetes Fejlesztő Kereskedelmi Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
34592,Népszabadság Top-kiadványok,92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,1160,Ringier AG,,,,,,,,
34597,Grátisz (lapcsoport) ,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
34601,Tipp (lapcsoport) ,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
34623,Bor & pálinka plusz,91149,HVG ONLINE Internetes Fejlesztő Kereskedelmi Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
34673,"Top 50, 100 (lapcsoport)",90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
34688,Délmagyarország Breki,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
34814,Budapesti újság city,92368,POP Print és Online Piac Korlátolt Felelősségű Társaság,1093,Inform Media GmbH,,,,,,,,
34831,Eszes (lapcsoport),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
34874,Jászapáti hírmondó,999999,Egyéb üzemeltető,,,,,,,,,,
34956,Rouge,90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1022,Botka Tamás,1163,ROSARIUM GLOBAL Inc,,,,,,
34972,Szajoli krónika,999999,Egyéb üzemeltető,,,,,,,,,,
34974,Szegedi hirdető ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
35182,E.ON világ ,999999,Egyéb üzemeltető,,,,,,,,,,
35249,Korzó magazin ,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
35270,N+ kókusz,92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,1160,Ringier AG,,,,,,,,
35319,Termosz ,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,
35563,Magyar bazár (lapcsoport) ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
35632,Hajdúszoboszló szuperinfó,999999,Egyéb üzemeltető,,,,,,,,,,
35672,Maraton Lapcsoport (lapcsoport) ,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1142,Ost Holding GmbH,,,,,,,,
35707,Aréna magazin,90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1022,Botka Tamás,1163,ROSARIUM GLOBAL Inc,,,,,,
35708,Top 100 + (lapcsoport),92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1142,Ost Holding GmbH,,,,,,,,
35710,Gáz.áram ,999999,Egyéb üzemeltető,,,,,,,,,,
35711,Fine restaurants,90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1022,Botka Tamás,1163,ROSARIUM GLOBAL Inc,,,,,,
35714,Business who is who,90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1022,Botka Tamás,1163,ROSARIUM GLOBAL Inc,,,,,,
35715,Contemporary art in Hungary,90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1022,Botka Tamás,1163,ROSARIUM GLOBAL Inc,,,,,,
35968,Győr+ hetilap,999999,Egyéb üzemeltető,,,,,,,,,,
35972,Gasztro magazin ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
35973,Diploma …,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
36084,Vasárnap reggel (lapcsoport) ,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
36209,Debreceni szuperinfó ,96100,"Krekk-Info Reklám, Terjesztési és Szolgáltató Nonprofit Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
36222,Hajdúsági szuperinfó ,96100,"Krekk-Info Reklám, Terjesztési és Szolgáltató Nonprofit Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
36273,Szeged körzeti szuperinfó,97373,SZUPERINFÓ DÉL-KELET MÉDIA Korlátolt Felelősségű Társaság,1197,Tóbiásné Kőrffy Andrea,1174,Savanya Zsolt,1104,Kiss Gábor Zoltán,1093,Inform Media GmbH,,
36598,Asztrológiai előrejelzés,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
36648,Nyugat-balatoni szuperinfó ,97854,Helikon Infó Informatikai és Szolgáltató Korlátolt Felelősségű Társaság,1095,Iski Zsolt Ferenc,1158,Rigó János,,,,,,
36675,Siófoki szuperinfó,999999,Egyéb üzemeltető,,,,,,,,,,
36810,Városunk Salgótarján grátisz,999999,Egyéb üzemeltető,,,,,,,,,,
36987,Vác és vonzáskörzete szuperinfó,999999,Egyéb üzemeltető,,,,,,,,,,
36989,Szabolcs-Szatmár-Bereg megyei szuperinfó ,91917,SZUPERINFÓ-KELET Hirdető és Lapterjesztő Korlátolt Felelősségű Társaság,1093,Inform Media GmbH,,,,,,,,
37031,Pontyvilág,92645,Sprint Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1117,Machos Ferenc,1118,Machos Ferencné,,,,,,
37036,Régiópress ,999999,Egyéb üzemeltető,,,,,,,,,,
37177,Voice,90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,1022,Botka Tamás,1163,ROSARIUM GLOBAL Inc,,,,,,
37241,50 követendő példa a sikerre,91084,Heti Válasz Lap- és Könyvkiadó Szolgáltató Korlátolt Felelősségű Társaság,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
37393,Kecskemét szuperinfó,91108,Hírös Modul Szuperinfó Korlátolt Felelősségű Társaság,1213,Zakar Kristóf,1212,Zakar Dávid,1214,Zakar László,,,,
37489,Ház magazin ,91108,Hírös Modul Szuperinfó Korlátolt Felelősségű Társaság,1213,Zakar Kristóf,1212,Zakar Dávid,1214,Zakar László,,,,
37611,Rába magazin ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
38676,Grabo cégtükör ,999999,Egyéb üzemeltető,,,,,,,,,,
50001,168ora.hu,92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,1190,Szilvásy Rudolf,1384,Bölcs Dóra,1385,Bölcs István,1386,Bölcs Ádám,1387,Mester Ákos
50002,24ora.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50005,50plusz.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50008,a100leggazdagabb.hu,92066,Napi Gazdaság Kiadó Korlátolt Felelősségű Társaság,1109,Korányi Tamás,1324,Whitestone International Ltd.,,,,,,
50018,adozona.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50024,allas.ma,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50026,alompar.hu,93258,IM-DIGITAL Szolgáltató Korlátolt Felelősségű Társaság,1093,Inform Media GmbH,,,,,,,,
50033,anyuci.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50034,aprohirdetes-ingyen.hu,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,
50035,apronet.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50036,apuci.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50039,astronet.hu,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50040,atv.hu,90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,1376,HIT ÉS ERKÖLCS KULTURÁLIS ALAP,1377,HIT GYÜLEKEZETE,1378,X & A Marketing and Holding Limited,,,,
50041,atvugyvedje.hu,90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,1376,HIT ÉS ERKÖLCS KULTURÁLIS ALAP,1377,HIT GYÜLEKEZETE,1378,X & A Marketing and Holding Limited,,,,
50044,autobazar.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50047,automagazin.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50048,automenedzser.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50049,automotor.hu,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50050,autonavigator.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50051,autopro.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50053,axelspringer.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50058,babaszoba.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50059,babazo.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
50061,bama.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50063,baon.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50065,baratok.hu,91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,1323,S.I.G. Kapital SA,1032,CLT UFA S. A,,,,,,
50066,bazar.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50069,belepo.hu,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,
50070,beol.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50071,bestmagazin.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50075,biopiac.net,999999,Egyéb üzemeltető,,,,,,,,,,
50077,birodalom.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50083,blikk.hu,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,
50084,blog.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50085,blogger.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50086,blogol.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50089,blog.nepsport.hu (blogzona.hu),92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,
50090,bmhirlap.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50091,book.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50094,boon.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50097,borsodiapro.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50098,borsonline.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50107,cgr.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50108,chat.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50110,chiponline.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50111,citromail.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50113,ckm.hu,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,
50116,commune.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50119,cosmopolitan.hu,91051,Hearst Sanoma Budapest Kiadói Korlátolt Felelősségű Társaság,1170,Sanoma Budapest Kiadói Zrt.,1085,Hearst Communications Inc.,,,,,,
50120,cotcot.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50122,cvonline.hu,93258,IM-DIGITAL Szolgáltató Korlátolt Felelősségű Társaság,1093,Inform Media GmbH,,,,,,,,
50131,data.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50134,dehir.hu,90518,Debrecen Városi Televízió Korlátolt Felelősségű Társaság,1425,Debrecen Önkormányzata,,,,,,,,
50135,deliapro.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50136,delmagyar.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50139,duol.hu (dh-online.hu),91105,Hírlap Press Kiadói Betéti Társaság,1142,Ost Holding GmbH,,,,,,,,
50145,divat.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50149,donna.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50150,donnalight.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50153,dunantulinaplo.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50154,dunatv.hu,90621,Duna Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1090,Hungária Televízió Közalapítvány,,,,,,,,
50158,ecoline.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50159,edenkert.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50160,eduline.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50163,egeszsegbolt.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50166,eharlequin.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50169,ellemagazin.hu (elle.hu),999999,Egyéb üzemeltető,,,,,,,,,,
50172,eoldal.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50182,evamagazin.hu,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,
50188,f1csatorna.hu,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1142,Ost Holding GmbH,,,,,,,,
50189,f1hirek.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
50196,fanzone.hu,92518,Ringier Kiadó Korlátolt Felelősségű Társaság,1160,Ringier AG,,,,,,,,
50198,farm.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50199,fashion.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50206,figyuzz.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50210,feol.hu (fmh.hu),91105,Hírlap Press Kiadói Betéti Társaság,1142,Ost Holding GmbH,,,,,,,,
50212,24.hu/fn/ (fn.hu),92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50217,forum.index.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50224,freemail.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
50227,freeweb.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50241,geographic.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50243,glamouronline.hu (glamour.hu),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50249,gphirek.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50251,gportal.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
50256,gyaszhir.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50270,haon.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50282,haziallat.hu,93258,IM-DIGITAL Szolgáltató Korlátolt Felelősségű Társaság,1093,Inform Media GmbH,,,,,,,,
50284,hazipatika.com,999999,Egyéb üzemeltető,,,,,,,,,,
50288,heol.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50289,valasz.hu (hetivalasz.hu),91084,Heti Válasz Lap- és Könyvkiadó Szolgáltató Korlátolt Felelősségű Társaság,885715,Infocenter.hu Média Befektetési Zrt.,,,,,,,,
50290,hevesiapro.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
50291,hevesmegyeihirlap.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50296,24.hu (hir24.hu),92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50298,hirado.hu,91738,Magyar Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,
50305,hirportal.hu,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50306,hirposta.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50307,hirstart.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50308,hirszerzo.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50309,hirtv.hu,91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,1202,Töröcskei István,248035,PRO-AURUM Vagyonkezelő Zrt.,,,,,,
50311,hitelkalkulator.hu,93414,Net Média Kiadó és Internet Tartalomszolgáltató Zártkörűen Működő Részvénytársaság,1139,Net. IPO Aktiengesellschaft,1115,Ladomerszky Zsolt,1168,Sándorfi Mihályné,,,,
50317,hotdog.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50325,hvg.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50333,inda.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50334,indafon.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50335,indafoto.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50336,indamail.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50337,indanet.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50338,indapass.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50339,indavideo.hu,93344,Index.hu Informatikai Zártkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50340,index.hu,93344,Index.hu Informatikai Zártkörűen Működő Részvénytársaság,1324,Whitestone International Ltd.,,,,,,,,
50341,inforadio.hu,91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1324,Whitestone International Ltd.,,,,,,,,
50347,ingatlanbazar.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50349,ingatlanmenedzser.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50350,ingatlanok.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50360,istenhozta.hu,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,
50364,iwiw.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
50369,jobline.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,
50370,jobmonitor.hu,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines Internatinal B. V.,,,,,,,,
50372,jojatek.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50373,jovicc.hu,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1010,Axel Springer AG
50375,joy.hu,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,
50376,juj.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50383,karacsony.hu,999999,Egyéb üzemeltető,,,,,,,,,,
50388,keletiapro.hu,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,
