2010,2011,2012,2013,2014,2015,2016,2017,2018
90043,97116,97116,97116,97116,97116,97116,97116,97116
90866,90417,90417,90417,90417,,,,
91051,91051,91051,91051,91051,91051,91051,100016,100016
,,96994,92258,92258,92258,92258,92258,92258
91917,96789,96789,96789,96789,96789,96789,96789,96789
92000,92000,92000,92000,99037,99037,99037,100410,100410
92176,92176,92176,92176,92176,92176,92176,92176,100691
92637,92637,90417,90417,90417,,,,
92807,96789,96789,96789,96789,96789,96789,96789,96789
97602,97602,97602,97602,97602,97602,97602,97602,97602