Cég ID,Cégnév,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
199043,MAGYAR HIRLAP KÖNYV- ÉS LAPKIADÓ RÉSZVÉNYTÁRSASÁG,"Budapest, VIII. Kerepesi út 29/b.","1145 Budapest, Szugló u 14.","1145 Budapest, Szugló u 14.","1145 Budapest, Szugló u 14.","1145 Budapest, Szugló u 14.",,,,,,,,
91719,Magyar Rádió Részvénytársaság,"1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.","1088 Budapest, Bródy S. u. 5-7.",
91738,Magyar Televízió Rt.,"1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1054 Budapest, Szabadság tér 17.","1037 Budapest, Kunigunda útja 64.",
91753,Magyarnarancs.hu Lapkiadó Korlátolt Felelősségű Társaság,"1115 Budapest, Ballagi Mór utca 3.","1115 Budapest, Ballagi Mór utca 3.","1115 Budapest, Ballagi Mór utca 3.","1115 Budapest, Ballagi Mór utca 3.","1106 Budapest, Fehér út 10. 8. ép. 1. em.","1106 Budapest, Fehér út 10. 8. ép. 1. em.","1106 Budapest, Fehér út 10. 8. ép. 1. em.","1106 Budapest, Fehér út 10. 8. ép. 1. em.","1106 Budapest, Fehér út 10. 8. ép. 1. em.","1016 Budapest, Naphegy tér 8. 3. em. 328.","1016 Budapest, Naphegy tér 8. 3. em. 328.","1016 Budapest, Naphegy tér 8. 3. em. 328.",
199044,Mahir Kiadó Korlátolt Felelősségű Társaság,"1074 Budapest, Hársfa u 40.","1074 Budapest, Hársfa u 40.","1074 Budapest, Hársfa u 40.","1074 Budapest, Hársfa u 40.","1074 Budapest, Hársfa u 40.","1074 Budapest, Hársfa u 40.",,,,,,,
199045,manager magazin Budapest Kiadó Korlátolt Felelősségű Társaság,,,,,,"1116 Budapest, Építész u. 26.","1116 Budapest, Építész u. 26.","1116 Budapest, Építész u. 26.","1033 Budapest, Hajógyári sziget 307.","1033 Budapest, Hajógyári sziget 307.","1033 Budapest, Hajógyári sziget 307.",,
91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,"8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.","8200 Veszprém, Házgyári út 12.",
91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,"1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.","1033 Budapest, Hajógyári-sziget 213.",
96342,Második Produkció Kft.,"2083 Solymár, Magas u. 134.","1037 Budapest, Kunigunda u 26.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.","3066 Bokor, Béke út 37.",
91842,Média 11. Tömegkommunikációs és Szolgáltató Korlátolt Felelősségű Társaság,"1118 Budapest, Kaptárkő u 12.","1113 Budapest, Villányi út 20. A. ép.","1113 Budapest, Villányi út 20. A. ép.","1113 Budapest, Villányi út 20. A. ép.","1113 Budapest, Villányi út 20. A. ép.","1114 Budapest, Szent Gellért tér 3.","1114 Budapest, Szent Gellért tér 3.","1114 Budapest, Szent Gellért tér 3.","1114 Budapest, Szent Gellért tér 3.","1114 Budapest, Szent Gellért tér 3.","1114 Budapest, Szent Gellért tér 3.","1114 Budapest, Szent Gellért tér 3.",
199046,MIHÍR 2004 Miskolci Hirdető Korlátolt Felelősségű Társaság,,,,,,,"3433 Nyékládháza, Rózsa út 15.","3530 Miskolc, Szemere u. 20.","4031 Debrecen, Balmazújvárosi út 11.","4031 Debrecen, Balmazújvárosi út 11.",,,
91920,MIKOM Miskolci Kommunikációs Nonprofit Korlátolt Felelősségű Társaság,,,,,,,,,,,"3525 Miskolc, Kis-Hunyad u 9.","3525 Miskolc, Kis-Hunyad u 9.",
199047,M-Invest 2000 Ingatlankezelő Korlátolt Felelősségű Társaság,"1097 Budapest, Gubacsi út 19.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","2081 Piliscsaba, Szent László u 73.","2081 Piliscsaba, Szent László u 73.","4033 Debrecen, Árpa utca 10/B.","4033 Debrecen, Árpa utca 10/B.","4033 Debrecen, Árpa utca 10/B.","4033 Debrecen, Árpa utca 10/B.","4033 Debrecen, Árpa utca 10/B.",
199048,Miskolci Kommunikációs Kht.,,,,,,,,,,,"3525 Miskolc, Kis-Hunyad u 9.","3525 Miskolc, Kis-Hunyad u 9.",
91679,MKIK Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,,,,,,,,,,,,"1055 Budapest, Kossuth Lajos tér 6-8.",
199049,M-MEDIEN GROUP Kultúrális Szolgáltató Korlátolt Felelősségű Társaság,"1124 Budapest, Vércse u. 2/C. sz.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","1097 Budapest, Ecseri út 14-16.","4029 Debrecen, Eötvös u 37. fszt. 1.","4029 Debrecen, Eötvös u 37. fszt. 1.","4029 Debrecen, Eötvös u 37. fszt. 1.","4029 Debrecen, Eötvös u 37. fszt. 1.","4029 Debrecen, Eötvös u 37. fszt. 1.","4029 Debrecen, Eötvös u 37. fszt. 1.",,
91935,MOBIL-EXPO Kereskedelmi Korlátolt Felelősségü Társaság,"9400 Sopron, Bánfalvi u.6.","9400 Sopron, Bánfalvi u.6.","9400 Sopron, Istvánbíró u 8. b. ép.","9400 Sopron, Istvánbíró u 8. b. ép.","9400 Sopron, Istvánbíró u 8. b. ép.","9400 Sopron, Istvánbíró u 8. b. ép.","9400 Sopron, Istvánbíró u 8. b. ép.","9400 Sopron, Istvánbíró u 8. b. ép.","9021 Győr, Újlak u 4. a. ép.","9021 Győr, Újlak u 4. a. ép.","9021 Győr, Újlak u 4. a. ép.","9021 Győr, Újlak u 4. a. ép.",
91722,M-RTL Rt,"1122 Budapest, Krisztina krt. 6-8.","1119 Budapest, Fehérvári út 84/a.","1119 Budapest, Fehérvári út 84/a.","1119 Budapest, Fehérvári út 84/a.","1119 Budapest, Fehérvári út 84/a.","1119 Budapest, Fehérvári út 84/a.","1119 Budapest, Fehérvári út 84/a.","1119 Budapest, Fehérvári út 84/a.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.","1222 Budapest, Nagytétényi út 29.",
91998,MTG Metro Gratis Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,"1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1106 Budapest, Fehér u. 10.","1134 Budapest, Tüzér utca 39-41. 2. em.","1134 Budapest, Tüzér utca 39-41. 2. em.","1134 Budapest, Tüzér utca 39-41. 2. em.","1134 Budapest, Tüzér utca 39-41. 2. em.",
92000,MTM-SBS Televízió Rt.,"1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.",
92002,MTV Networks Magyarország Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,"1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.","1113 Budapest, Bocskai út 134-146.",
199050,MULTIVIZIÓ-VESZPRÉM Lapkiadó Korlátolt Felelősségű Társaság,"8200 Veszprém, Zalka Máté tér 1.",,,,,,,,,,,,
199051,MűSOR-HANG Műsorszolgáltató Korlátolt Felelősségű Társaság,,,,,,"1133 Budapest, Váci út 78/B.","1133 Budapest, Váci út 78/B.","1133 Budapest, Váci út 78/B.","1133 Budapest, Váci út 78/B.","1133 Budapest, Váci út 78/B.","1133 Budapest, Váci út 78/B.",,
92015,MűSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,"1133 Budapest, Váci út 78/B.",
92066,Napi Gazdaság Kiadó Korlátolt Felelősségű Társaság,"1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.","1135 Budapest, XIII., Csata u. 32.",
199052,NAPLÓ Lapkiadó Korlátolt Felelősségü Társaság,"4001 Debrecen, Dósa nádor tér 10. sz.",,,,,,,,,,,,
92081,Nemzet Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,"1091 Budapest, Üllői út 51.","1091 Budapest, Üllői út 51.","1091 Budapest, Üllői út 51.","1091 Budapest, Üllői út 51.","1091 Budapest, Üllői út 51.","1091 Budapest, Üllői út 51.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.","1089 Budapest, Üllői út 102.",
199053,"Nemzeti Korona Lap, Könyvkiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","1043 Budapest, Dugonics u. 30-32.","1043 Budapest, Dugonics u. 30-32.","1043 Budapest, Dugonics u. 30-32.",,,,,,,,,,
199054,Nemzeti Sport Lap- Könyvkiadó és Szolgáltató Korlátolt Felelősségű Társaság,"1133 Budapest, Visegrádi u. 115.","1133 Budapest, Visegrádi u. 115.","1141 Budapest, Szugló u 83-85.",,,,,,,,,,
92090,Népszabadság Kiadó és Nyomdaipari Zártkörűen Működő Részvénytársaság,"1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.","1034 Budapest, Bécsi út 122-124. sz.",
92092,Népszava Lapkiadó Korlátolt Felelősségű Társaság,,,,,,"1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.",
92093,Népújság Korlátolt Felelősségű Társaság Békéscsaba,"5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Munkácsi ut.4.sz.","5600 Békéscsaba, Kiss Ernő utca 3.",
93414,Net Média Kiadó és Internet Tartalomszolgáltató Zártkörűen Működő Részvénytársaság,,,"1066 Budapest, Teréz körút 38.","1132 Budapest, Vichor Hugo u 11-15.","1132 Budapest, Vichor Hugo u 11-15.","1132 Budapest, Vichor Hugo u 11-15.","1075 Budapest, Károly körút 9.","1075 Budapest, Károly körút 9.","1066 Budapest, Teréz krt. 46.","1066 Budapest, Teréz krt. 46.","1066 Budapest, Teréz krt. 46.","1033 Budapest, Polgár utca 8-10.",
199055,New World Publishing Kft.,"1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.","1055 Budapest, Szent István krt.11.III/4.",
92115,Nógrádi Média Kiadói Korlátolt Felelősségű Társaság,,"3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Erzsébet tér 6.","3100 Salgótarján, Alkotmány út 9.","3100 Salgótarján, Alkotmány út 9.","3100 Salgótarján, Alkotmány út 9.","3100 Salgótarján, Alkotmány út 9.",
199056,NSZ 1999 Lapkiadó Részvénytársaság,,"1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.","1087 Budapest, Könyves Kálmán krt 76.",,,,
92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,,,"1013 Budapest, Krisztina krt 55.","1013 Budapest, Krisztina krt 55.","1117 Budapest, Neumann János út 1/B.","1117 Budapest, Neumann János út 1/B.","1117 Budapest, Neumann János út 1/B.","1117 Budapest, Neumann János út 1/B.","1117 Budapest, Neumann János út 1/B.","1117 Budapest, Gábor Dénes u 2.","1117 Budapest, Gábor Dénes u 2.","1117 Budapest, Gábor Dénes u 2.",
98208,Országos Kereskedelmi Rádió Rt.,"9022 Győr, Szent István út 5l.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.","1138 Budapest, Váci út 141.",
199057,P & B Média Portfóliókezelő Rt.,"1133 Budapest, Visegrádi u.116.","1133 Budapest, Visegrádi u.116.","1133 Budapest, Visegrádi u.116.","1013 Budapest, Pauler u 11.","1013 Budapest, Pauler u 11.","1013 Budapest, Pauler u 11.","1013 Budapest, Pauler u 11.","1013 Budapest, Pauler u 11.","1013 Budapest, Pauler u 11.",,,,
92254,Pannon Broadcast Televízió Kft.,"1033 Budapest, Hunor u. 34.","1033 Budapest, Hunor u. 34.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.",
92254,PANNON BROADCAST Televízió Kolrátolt Felelősségű Társaság,"1033 Budapest, Hunor u. 34.","1033 Budapest, Hunor u. 34.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.","1032 Budapest, Gyenes u 8. A. ép.",
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,"8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.","8900 Zalaegerszeg, Ady u. 60.",
92287,Pax TV Rt.,,,,"1033 Budapest, Hajógyári sziget 307.","1033 Budapest, Hajógyári sziget 307.","1033 Budapest, Hajógyári-sziget 323.","1033 Budapest, Hajógyári-sziget 323.","1033 Budapest, Hajógyári-sziget 307.","1033 Budapest, Hajógyári-sziget 307.","1033 Budapest, Hajógyári-sziget 307.","1033 Budapest, Bogdáni út 1.","1033 Budapest, Bogdáni út 1.",
92292,Pécs Médiaközpont Korlátolt Felelősségű Társaság,,"7623 Pécs, Bajcsy-Zs u 35.","7623 Pécs, Bajcsy-Zs u 35.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi utca 55.","7621 Pécs, Rákóczi út 11.",
92324,Petőfi Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,"6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Széchenyi krt 29.","6000 Kecskemét, Széchenyi krt 29.","6000 Kecskemét, Széchenyi krt 29.","6000 Kecskemét, Széchenyi krt 29.",
199058,Piac és Marketing Kft.,,,,,,,"6722 Szeged, Mérey 6/B","6722 Szeged, Attila 16","6722 Szeged, Attila 16","6722 Szeged, Attila 16",,,
